Question,Option A,Option B,Option C,Option D,Answer,Difficulty
The speed of a CPU is measured in,Gigabytes,Megahertz,Kilobytes,Terabytes,Terabytes,hard
What does RAM stand for?,Read-And-Make,Random Access Memory,Read-Only Memory,Rapidly Accessed Module,Random Access Memory,medium
What is the primary function of an operating system?,Manage hardware resources,Run applications,Create documents,Play multimedia,Manage hardware resources,hard
What is the binary equivalent of the decimal number 25?,10101,11001,11100,11001,11001,easy
What is the role of a GPU in a computer?,Speed up the CPU,Handle graphical operations and calculations,Manage memory allocation,Execute system commands,Handle graphical operations and calculations,easy
Which programming language is often used for artificial intelligence and machine learning?,Java,Python,C++,JavaScript,Python,medium
What does HTTP stand for in web addresses?,Hypertext Transfer Program,Hypertext Transfer Protocol,Hypertext Terminal Protocol,Hypertext Transmission Program,Hypertext Transfer Protocol,medium
What is the function of a firewall in a computer system?,Filter incoming and outgoing network traffic to prevent unauthorized access,Manage computer memory,Speed up internet connectivity,Organize file storage,Filter incoming and outgoing network traffic to prevent unauthorized access,medium
Which component of a computer is responsible for storing data long-term?,RAM,CPU,Hard Disk Drive,Cache,Hard Disk Drive,medium
What is the purpose of an IP address?,To identify a website,To identify a location on the internet,To encrypt data transmission,To store web page content,To identify a location on the internet,easy
What is the purpose of an Ethernet cable in computer networking?,Transmitting power to the computer,Connecting devices to create a local network,Enhancing the processor speed,Cooling down the CPU,Connecting devices to create a local network,hard
Which programming language is often used for developing mobile applications?,Java,Swift,PHP,Ruby,Swift,medium
What is the function of a compiler in programming?,Executes the code line by line,Converts high-level code to machine code,Stores data temporarily,Checks for logical errors in the code,Converts high-level code to machine code,hard
What does URL stand for?,Uniform Resource Locator,Universal Research Location,User-Requested Link,Unified Router Language,Uniform Resource Locator,hard
What is the purpose of a DNS server?,Store web browsing history,Encrypt internet traffic,Convert domain names to IP addresses,Manage firewall settings,Convert domain names to IP addresses,medium
Which file format is commonly used for images with transparent backgrounds?,JPEG,BMP,PNG,GIF,PNG,easy
What is the primary function of an antivirus software?,Speed up computer performance,Securely store passwords,Protect against malware and viruses,Enhance internet connectivity,Protect against malware and viruses,hard
What does GUI stand for in computing?,Graphical User Interface,General Utility Interface,Graphics Usage Interface,Graphical Unit Integration,Graphical User Interface,easy
What does SSD stand for in computer hardware?,Solid State Drive,Super Speed Device,Storage System Disk,Software Storage Device,Solid State Drive,medium
What is the purpose of a cache in a computer system?,Store temporary data for quick access,Manage system cooling,Create backup copies of files,Increase screen resolution,Store temporary data for quick access,medium
Which programming language is often used for web development and scripting?,C#,Python,JavaScript,Perl,JavaScript,easy
What is the function of a router in a network?,Connects devices within a local network,Manages printer functions,Increases RAM capacity,Encrypts data transmission,Connects devices within a local network,hard
What does HTML stand for in web development?,Hyper Transfer Markup Language,Hyper Text Management Language,Hyperlink Texting and Markup Language,Hypertext Markup Language,Hypertext Markup Language,medium
What is the role of a modem in computer networking?,Connects multiple devices wirelessly,Converts digital data to analog signals for transmission over phone lines,Enhances processor speed,Manages system security,Converts digital data to analog signals for transmission over phone lines,easy
Which programming language is commonly used for database management?,SQL,Ruby,Java,PHP,SQL,easy
What is the function of a motherboard in a computer?,Stores operating system files,Manages internet connectivity,Connects and allows communication between various hardware components,Performs complex calculations,Connects and allows communication between various hardware components,easy
Which type of software helps users create documents and presentations?,Operating system,Utility software,Productivity software,Security software,Productivity software,hard
What is the purpose of a firewall in computer security?,Enhance internet speed,Block unauthorized access to a network or system,Create backup copies of files,Monitor computer performance,Block unauthorized access to a network or system,medium
What is the function of a power supply unit (PSU) in a computer?,Protects against viruses,Manages network connections,Supplies power to all components within the computer,Provides extra storage space,Supplies power to all components within the computer,easy
Which programming language is often used for scientific and mathematical computations?,Python,JavaScript,C++,Ruby,Python,easy
Choose the word most similar in meaning to CANNY.,Obstinate,Handsome,Clever,Stout,Clever,easy
Choose the word most similar in meaning to WARRIOR.,Soldier,Sailor,Pirate,Spy,Soldier,hard
Choose the word most similar in meaning to DISTANT.,Far,Removed,Reserved,Separate,Far,hard
Select the lettered pair that best  expresses a relationship similar to HEIGHT: MOUNTAIN,Depth : Trench,Shade : Tree,Weight : Age,Speed : Highway,Depth : Trench,medium
Select the lettered pair that best  expresses a relationship similar to ACT : ACTION,Therapy : Thermometer,Oblivion : Obvious,Liturgy : Literature,Image : Imagine,Image : Imagine,easy
Select the lettered pair that best  expresses a relationship similar to DISTANCE:MILE,liquid: liter,bushel: corn,weight: scale,fame: television,weight: scale,medium
Choose the lettered word or phrase that is most nearly opposite  in meaning to EXODUS.,Influx,Home-coming,Return,Restoration,Return,medium
Choose the lettered word or phrase that is most nearly opposite  in meaning to DETER.,Twist,Intimidate,Encourage,Straighten,Encourage,easy
Choose the lettered word or phrase that is most nearly opposite  in meaning to QUIZZICAL.,Amused,Unequivocal,Contorted,Dissimilar,Unequivocal,hard
Choose the lettered word or phrase that is most nearly opposite  in meaning to  EXPAND.,Convert,Condense,Congest,Conclude,Condense,medium
Choose the word that is closest in meaning to VIVACIOUS.,Lively,Boring,Dull,Lifeless,Lively,easy
Choose the word that is closest in meaning to PRECISE.,Accurate,Rough,Indistinct,Vague,Accurate,hard
Select the word that is closest in meaning to LETHARGIC.,Energetic,Lazy,Active,Dynamic,Lazy,medium
Choose the lettered pair that best expresses a relationship similar to FELINE: CAT,Canine : Dog,Pachyderm : Elephant,Bovine : Cow,Ovine : Sheep,Canine : Dog,hard
Select the word that is closest in meaning to CONUNDRUM.,Puzzle,Solution,Explanation,Clarity,Puzzle,easy
Choose the word that is closest in meaning to AMIABLE.,Hostile,Friendly,Rude,Irritable,Friendly,easy
Choose the lettered word or phrase that is most nearly opposite in meaning to OBSCURE.,Clear,Unclear,Vague,Ambiguous,Clear,medium
Select the word that is closest in meaning to TENACIOUS.,Weak,Persistent,Flexible,Sporadic,Persistent,medium
Choose the word that is closest in meaning to INQUISITIVE.,Curious,Indifferent,Apathetic,Disinterested,Curious,medium
Select the word that is closest in meaning to COPIOUS.,Abundant,Scarce,Meager,Limited,Abundant,easy
Choose the word that is closest in meaning to INCONSPICUOUS.,Visible,Obvious,Unnoticeable,Prominent,Unnoticeable,easy
Choose the lettered word or phrase that is most nearly opposite in meaning to ABANDON.,Embrace,Cling,Retain,Hold,Retain,hard
Select the word that is closest in meaning to FORTUITOUS.,Planned,Accidental,Intentional,Deliberate,Accidental,medium
Choose the word that is closest in meaning to ERRONEOUS.,Correct,Faulty,Accurate,Precise,Faulty,easy
Choose the lettered word or phrase that is most nearly opposite in meaning to RESILIENT.,Fragile,Tough,Flexible,Durable,Fragile,easy
Choose the word that is closest in meaning to PONDER.,Think,Ignore,Forget,Neglect,Think,medium
Choose the word that is closest in meaning to ASCEND.,Fall,Descend,Climb,Plummet,Climb,hard
Choose the word that is closest in meaning to SERENE.,Tranquil,Noisy,Chaotic,Agitated,Tranquil,hard
Select the word that is closest in meaning to RUDIMENTARY.,Advanced,Basic,Elaborate,Complicated,Basic,easy
Choose the word that is closest in meaning to INCESSANT.,Temporary,Continuous,Sporadic,Occasional,Continuous,easy
Choose the lettered pair that best expresses a relationship similar to SOAR : ASCEND.,Plunge : Dive,Fall : Descend,Expand : Extend,Surge : Rise,Surge : Rise,easy
Select the word that is closest in meaning to CUNNING.,Deceptive,Honest,Naive,Straightforward,Deceptive,medium
Choose the word that is closest in meaning to EXASPERATE.,Anger,Annoy,Calm,Pacify,Annoy,hard
Choose the lettered word or phrase that is most nearly opposite in meaning to SERENE.,Agitated,Peaceful,Tranquil,Calm,Agitated,easy
Select the word that is closest in meaning to OSTENTATIOUS.,Modest,Showy,Simple,Plain,Showy,hard
Choose the word that is closest in meaning to AMALGAMATE.,Separate,Merge,Divide,Disperse,Merge,medium
Choose the lettered word or phrase that is most nearly opposite in meaning to VACANT.,Occupied,Available,Empty,Free,Occupied,medium
